Handle,Title,Body_HTML,Vendor,Product_Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant_Price,Variant_Compare_At_Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image_Src,Image_Position,Image_Alt_Text,Gift Card,SEO_Title,SEO_Description,Google Shopping / Google Product Category,Google_Shopping_Gender,Google_Shopping_Age_Group,Google Shopping / MPN,Google_Shopping_Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Switzerland,Price_Switzerland,Compare At Price / Switzerland,Included / International,Price / International,Compare At Price / International,Status
casquette-adidas-jm,Casquette Adidas JM,"Cette casquette classique Adidas JM est une pièce intemporelle et élégante, parfaite pour n'importe quelle garde-robe. De plus, grâce à une fermeture à bouton-pression réglable et à un matériau flexible, il offre un ajustement très confortable.<br>
<br>
• Fabriqué en polyester recyclé à 100 %<br>
• Non structuré<br>
• 6 panneaux, profil bas<br>
• Taille unique<br>
• Fermeture à bouton-pression réglable<p><strong class=""size-guide-title"">Guide des tailles</strong></p><div class=""table-responsive dynamic"" data-unit-system=""imperial""><table cellpadding=""5""><tbody>
<tr>
<td> </td>
<td><strong>A (inches)</strong></td>
<td><strong>B (inches)</strong></td>
<td><strong>C (inches)</strong></td>
<td><strong>D (inches)</strong></td>
</tr>
<tr>
<td><strong>One size</strong></td>
<td>23 - 25</td>
<td>5</td>
<td>3</td>
<td>7</td>
</tr>
</tbody></table></div><div class=""table-responsive dynamic"" data-unit-system=""metric""><table cellpadding=""5""><tbody>
<tr>
<td> </td>
<td><strong>A (cm)</strong></td>
<td><strong>B (cm)</strong></td>
<td><strong>C (cm)</strong></td>
<td><strong>D (cm)</strong></td>
</tr>
<tr>
<td><strong>One size</strong></td>
<td>58.4-63.5</td>
<td>12.7</td>
<td>7.6</td>
<td>17.8</td>
</tr>
</tbody></table></div>",ChicByJM,,"","Accessoire, Accessoires, Ciel bleu, Femme, Homme, Jardin secret",true,Title,Default Title,,,,,,,,3212792_16244,85.048569375,shopify,deny,manual,34.00,,true,true,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-right-front-66bcba8706352.jpg?v=1723644562,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-front-66bcba870860c.jpg?v=1723644584,oz,PC040129,22.70,true,,,true,,,active
casquette-adidas-jm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-left-front-66bcba8707dd3.jpg?v=1723644566,2,"",,,,,,,,,,,,,,,,,,,,,,,,,
casquette-adidas-jm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-front-66bcba8707f93.jpg?v=1723644569,3,"",,,,,,,,,,,,,,,,,,,,,,,,,
casquette-adidas-jm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-left-front-2-66bcba870812e.jpg?v=1723644572,4,"",,,,,,,,,,,,,,,,,,,,,,,,,
casquette-adidas-jm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-back-right-66bcba87082be.jpg?v=1723644575,5,"",,,,,,,,,,,,,,,,,,,,,,,,,
casquette-adidas-jm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-back-66bcba8708472.jpg?v=1723644579,6,"",,,,,,,,,,,,,,,,,,,,,,,,,
casquette-adidas-jm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-front-66bcba870860c.jpg?v=1723644584,7,"",,,,,,,,,,,,,,,,,,,,,,,,,
casquette-adidas-jm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-back-66bcba87087bb.jpg?v=1723644589,8,"",,,,,,,,,,,,,,,,,,,,,,,,,
casquette-adidas-jm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/adidas-dad-hat-black-left-front-66bcba870894b.jpg?v=1723644593,9,"",,,,,,,,,,,,,,,,,,,,,,,,,
t-shirt-girafe-school-spirit-jm,T-shirt Girafe - School Spirit JM,"• 100 % coton<br>
• Sport Grey est composé de 90 % de coton, et 10 % de polyester<br>
• Poids du tissu : 180 g/m² (5,3 oz/yd²)<br>
• Tissu prérétréci<br>
• Coupe classique<br>
• Col et épaules dotés d'une bande<br>
• Étiquette détachable<br>
• Fabriqué avec des teintures à faible impact certifiées OEKO-TEX<br>
• Produit vierge provenant de la République dominicaine, du Honduras, d'Haïti, du Nicaragua ou du Salvador<p><strong class=""size-guide-title"">Guide des tailles</strong></p><div class=""table-responsive dynamic"" data-unit-system=""imperial""><table cellpadding=""5""><tbody>
<tr>
<td> </td>
<td><strong>LONGUEUR (inches)</strong></td>
<td><strong>POITRINE (inches)</strong></td>
</tr>
<tr>
<td><strong>XS</strong></td>
<td>20 ½</td>
<td>16</td>
</tr>
<tr>
<td><strong>S</strong></td>
<td>22</td>
<td>17</td>
</tr>
<tr>
<td><strong>M</strong></td>
<td>23 ½</td>
<td>18</td>
</tr>
<tr>
<td><strong>L</strong></td>
<td>25</td>
<td>19</td>
</tr>
<tr>
<td><strong>XL</strong></td>
<td>26 ½</td>
<td>20</td>
</tr>
</tbody></table></div><div class=""table-responsive dynamic"" data-unit-system=""metric""><table cellpadding=""5""><tbody>
<tr>
<td> </td>
<td><strong>LONGUEUR (cm)</strong></td>
<td><strong>POITRINE (cm)</strong></td>
</tr>
<tr>
<td><strong>XS</strong></td>
<td>52</td>
<td>40.6</td>
</tr>
<tr>
<td><strong>S</strong></td>
<td>55.9</td>
<td>43.2</td>
</tr>
<tr>
<td><strong>M</strong></td>
<td>59.7</td>
<td>45.7</td>
</tr>
<tr>
<td><strong>L</strong></td>
<td>63.5</td>
<td>48.3</td>
</tr>
<tr>
<td><strong>XL</strong></td>
<td>67.3</td>
<td>50.8</td>
</tr>
</tbody></table></div>",ChicByJM,,"","Ciel bleu, Enfant, Haut, Jardin secret, School Spirit",true,Couleur,Rouge,,Taille,XS,,,,,1686919_18710,99.2233309375,shopify,deny,manual,20.50,,true,true,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/youth-classic-tee-gold-front-66b219f27fc90.jpg?v=1722948100,1,"",false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0889/3182/8051/files/youth-classic-tee-red-front-66b219f281a1a.jpg?v=1722948103,oz,PC040100,8.55,true,,,true,,,active
